id,params,state,node,started_at,finished_at,artefact_path,error_msg,results
1,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_0.pkl""}",done,compute-5-21.local,2025-05-24 08:48:53,2025-05-24 08:58:46,"{""graph_size"": 6, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""vanilla"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 570.2050316333771, ""quantum_func_evals"": 139, ""ratio"": 1.6773926682377382, ""quantum_solution"": [1, 1, 1, 0, 1, 1], ""quantum_obj_value"": 4.2336147192800375, ""classic_solution"": [1.0, 1.0, 1.0, 0, 0, 0], ""classic_value"": 2.5239258519758856, ""final_params"": {""__ndarray__"": [2.3239420151174026, 1.2871970378167303, 3.166052244039621, 1.941264826046841, 2.6146982912018344, 0.3559637452637686, 4.513578125657965, 1.341933316216147], ""dtype"": ""float64"", ""shape"": [8]}, ""percent_measure_optimal"": 0.0205078125, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_0""}",,
2,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_0.pkl""}",done,compute-5-15.local,2025-05-24 08:49:46,2025-05-24 08:58:37,"{""graph_size"": 6, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""vanilla"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 510.3478569984436, ""quantum_func_evals"": 131, ""ratio"": 1.1101165201001477, ""quantum_solution"": [1, 0, 0, 1, 1, 1], ""quantum_obj_value"": 2.8018517837862706, ""classic_solution"": [1.0, 1.0, 1.0, 0, 0, 0], ""classic_value"": 2.5239258519758856, ""final_params"": {""__ndarray__"": [4.125016212535306, 1.7574035585442267, 3.043054828330078, 1.5061953513315625, 3.116243044372969, 2.7831187473938046, 3.0038305991040177, 2.5254228882997696], ""dtype"": ""float64"", ""shape"": [8]}, ""percent_measure_optimal"": 0.0068359375, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_0""}",,
3,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_0.pkl""}",done,compute-5-22.local,2025-05-24 08:52:22,2025-05-24 09:00:43,"{""graph_size"": 6, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""vanilla"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 479.7586245536804, ""quantum_func_evals"": 128, ""ratio"": 1.4152210527862246, ""quantum_solution"": [1, 1, 0, 1, 1, 1], ""quantum_obj_value"": 3.5719130013876814, ""classic_solution"": [1.0, 1.0, 1.0, 0, 0, 0], ""classic_value"": 2.5239258519758856, ""final_params"": {""__ndarray__"": [3.7859716227655, 1.6790232033623054, 2.8021933085437727, 1.6848014577033386, 3.053218110393237, 2.5836400747189097, 3.086791511763432, 1.3776872004840555], ""dtype"": ""float64"", ""shape"": [8]}, ""percent_measure_optimal"": 0.0185546875, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_0""}",,
4,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_0.pkl""}",done,compute-5-19.local,2025-05-24 08:54:28,2025-05-24 09:04:59,"{""graph_size"": 6, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""vanilla"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 608.5759649276733, ""quantum_func_evals"": 155, ""ratio"": 1.4152210527862246, ""quantum_solution"": [1, 1, 0, 1, 1, 1], ""quantum_obj_value"": 3.5719130013876814, ""classic_solution"": [1.0, 1.0, 1.0, 0, 0, 0], ""classic_value"": 2.5239258519758856, ""final_params"": {""__ndarray__"": [3.936151727012114, 1.6636861873004085, 3.0607410911004758, 1.5025753142101717, 3.257374270436219, 1.273709856561789, 4.327550141994004, 2.622611373727567], ""dtype"": ""float64"", ""shape"": [8]}, ""percent_measure_optimal"": 0.0087890625, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_0""}",,
5,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_0.pkl""}",done,compute-5-15.local,2025-05-24 08:55:09,2025-05-24 09:05:21,"{""graph_size"": 6, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""vanilla"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 591.6153361797333, ""quantum_func_evals"": 156, ""ratio"": 1.7941706808734268, ""quantum_solution"": [1, 1, 1, 1, 1, 1], ""quantum_obj_value"": 4.528353764313619, ""classic_solution"": [1.0, 1.0, 1.0, 0, 0, 0], ""classic_value"": 2.5239258519758856, ""final_params"": {""__ndarray__"": [3.9275866455872315, 1.4767710761410757, 3.3220010168410576, 1.5905283569983393, 3.2909340232325515, 1.7169267488548612, 3.971241531584729, 1.7102069596892011], ""dtype"": ""float64"", ""shape"": [8]}, ""percent_measure_optimal"": 0.0048828125, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_0""}",,
6,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_0.pkl""}",done,compute-5-15.local,2025-05-24 08:58:38,2025-05-24 09:08:30,"{""graph_size"": 6, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""vanilla"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 569.6410262584686, ""quantum_func_evals"": 149, ""ratio"": 1.4152210527862246, ""quantum_solution"": [1, 1, 0, 1, 1, 1], ""quantum_obj_value"": 3.5719130013876814, ""classic_solution"": [1.0, 1.0, 1.0, 0, 0, 0], ""classic_value"": 2.5239258519758856, ""final_params"": {""__ndarray__"": [4.108042923033663, 1.8299392327299029, 3.151986458103742, 1.5587626101290033, 3.2592041022503127, 2.6712391463396528, 2.50331947034507, 1.4611956643132897], ""dtype"": ""float64"", ""shape"": [8]}, ""percent_measure_optimal"": 0.0048828125, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_0""}",,
7,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_0.pkl""}",done,compute-5-21.local,2025-05-24 08:58:46,2025-05-24 09:09:00,"{""graph_size"": 6, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""vanilla"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 590.5808877944946, ""quantum_func_evals"": 143, ""ratio"": 1.4210225796633162, ""quantum_solution"": [1, 1, 1, 1, 1, 0], ""quantum_obj_value"": 3.5865556250537063, ""classic_solution"": [1.0, 1.0, 1.0, 0, 0, 0], ""classic_value"": 2.5239258519758856, ""final_params"": {""__ndarray__"": [4.102536894917194, 1.8770932230556685, 3.212026865153888, 1.627576784374305, 3.171416473985475, 2.405152941808469, 2.7897858214502493, 1.5108835510245555], ""dtype"": ""float64"", ""shape"": [8]}, ""percent_measure_optimal"": 0.009765625, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_0""}",,
8,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_3.pkl""}",done,compute-5-19.local,2025-05-22 04:41:04,2025-05-22 04:55:05,"{""graph_size"": 9, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""vanilla"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 820.240246295929, ""quantum_func_evals"": 146, ""ratio"": 1.9321748104335792, ""quantum_solution"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""quantum_obj_value"": 4.680535159963345, ""classic_solution"": [1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0], ""classic_value"": 2.4224180621178033, ""final_params"": {""__ndarray__"": [4.055224506614587, 1.547469750126819, 3.096451834080413, 1.6875653612360755, 2.9943897713367074, 2.73589620909741, 2.931722477491392, 3.0167032781269465], ""dtype"": ""float64"", ""shape"": [8]}, ""percent_measure_optimal"": 0.0009765625, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_3""}",,
9,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_3.pkl""}",done,compute-5-19.local,2025-05-22 04:41:40,2025-05-22 04:54:59,"{""graph_size"": 9, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""vanilla"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 776.6281208992004, ""quantum_func_evals"": 138, ""ratio"": 1.9321748104335792, ""quantum_solution"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""quantum_obj_value"": 4.680535159963345, ""classic_solution"": [1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0], ""classic_value"": 2.4224180621178033, ""final_params"": {""__ndarray__"": [3.786462485680139, 1.6316419649190497, 3.3081765614998235, 1.6327426000402376, 3.158622327133989, 1.4995699801877538, 2.6907615884736487, 1.5213080963185073], ""dtype"": ""float64"", ""shape"": [8]}, ""percent_measure_optimal"": 0.0009765625, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_3""}",,
10,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_3.pkl""}",done,compute-5-22.local,2025-05-22 04:45:32,2025-05-22 04:57:11,"{""graph_size"": 9, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""vanilla"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 678.2683250904083, ""quantum_func_evals"": 124, ""ratio"": 1.9321748104335792, ""quantum_solution"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""quantum_obj_value"": 4.680535159963345, ""classic_solution"": [1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0], ""classic_value"": 2.4224180621178033, ""final_params"": {""__ndarray__"": [3.872253584654673, 1.7169623722381493, 3.239273868393623, 1.5556656543630185, 3.224268148691798, 2.5970563662525032, 3.5561533187248973, 1.415169938818009], ""dtype"": ""float64"", ""shape"": [8]}, ""percent_measure_optimal"": 0.0009765625, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_3""}",,
